"client_id","id_commande","date","produit","categorie","quantite","prix_unitaire","remise","ville","mode_paiement","montant","mois","segment","age","canal"
"C019","CMD0015",2024-01-15,"Haltères 5 kg","Sport",4,29.9,0,"Paris","Carte",119.6,1,"Standard",66,"Moteur de recherche"
"C090","CMD0016",2024-01-16,"Huile d'argan","Beauté",1,15.9,0,"Paris","Carte",15.9,1,"Premium",29,"Bouche-à-oreille"
"C059","CMD0017",2024-01-21,"Savon naturel","Beauté",4,6.5,0,"Lille","Carte",26,1,"Standard",56,"Moteur de recherche"
"C026","CMD0018",2024-01-22,"Haltères 5 kg","Sport",2,29.9,0.05,"Paris","Paypal",56.81,1,"Standard",50,"Moteur de recherche"
"C029","CMD0019",2024-01-25,"Coussin décoratif","Maison",2,19.9,0,"Marseille","Carte",39.8,1,"Standard",62,"Publicité"
"C069","CMD0020",2024-01-25,"Coussin décoratif","Maison",1,19.9,0.1,"Lille","Virement",17.91,1,"Standard",21,"Bouche-à-oreille"
"C074","CMD0021",2024-01-25,"Parfum d'ambiance","Beauté",1,27,0.15,"Lille","Paypal",22.95,1,"Standard",41,"Moteur de recherche"
"C066","CMD0022",2024-01-25,"Haltères 5 kg","Sport",2,29.9,0.2,"Lyon","Carte",47.84,1,"Premium",45,"Moteur de recherche"
"C002","CMD0023",2024-01-27,"Set de casseroles","Maison",4,79,0,"Marseille","Paypal",316,1,"Standard",56,"Bouche-à-oreille"
"C025","CMD0024",2024-01-27,"Haltères 5 kg","Sport",1,29.9,0.1,"Lyon","Carte",26.91,1,"Nouveau",47,"Moteur de recherche"
"C114","CMD0025",2024-01-28,"Tapis de yoga","Sport",3,24.9,0,"Lille","Carte",74.7,1,"Standard",48,"Bouche-à-oreille"
"C007","CMD0026",2024-01-28,"Gourde isotherme","Sport",2,17.5,0.05,"Paris","Carte",33.25,1,"Standard",60,"Moteur de recherche"
"C043","CMD0027",2024-01-28,"Lampe de bureau","Maison",3,34.9,0,"Paris","Inconnu",104.7,1,"Nouveau",35,"Publicité"
"C052","CMD0028",2024-01-29,"Coussin décoratif","Maison",1,19.9,0,"Paris","Carte",19.9,1,"Nouveau",57,"Moteur de recherche"
"C003","CMD0029",2024-01-29,"Tapis de yoga","Sport",2,24.9,0,"Lille","Carte",49.8,1,"Nouveau",52,"Publicité"
"C010","CMD0030",2024-01-29,"Set de casseroles","Maison",1,79,0,"Paris","Carte",79,1,"Standard",26,"Publicité"
"C070","CMD0031",2024-01-30,"Huile d'argan","Beauté",4,15.9,0,"Lyon","Paypal",63.6,1,"Standard",43,"Moteur de recherche"
"C014","CMD0032",2024-01-30,"Tapis de yoga","Sport",2,24.9,0,"Lille","Carte",49.8,1,"Standard",57,"Moteur de recherche"
"C021","CMD0033",2024-02-02,"Set de casseroles","Maison",3,79,0,"Paris","Paypal",237,2,"Standard",19,"Bouche-à-oreille"
"C019","CMD0034",2024-02-02,"Plaid en laine","Maison",2,45.5,0.2,"Marseille","Carte",72.8,2,"Standard",66,"Moteur de recherche"
"C104","CMD0035",2024-02-05,"Coussin décoratif","Maison",1,19.9,0,"Paris","Inconnu",19.9,2,"Standard",68,"Publicité"
"C026","CMD0036",2024-02-05,"Haltères 5 kg","Sport",1,29.9,0.15,"Marseille","Paypal",25.41,2,"Standard",50,"Moteur de recherche"
"C013","CMD0037",2024-02-07,"Huile d'argan","Beauté",3,15.9,0,"Nantes","Paypal",47.7,2,"Nouveau",19,"Moteur de recherche"
"C084","CMD0038",2024-02-08,"Corde à sauter","Sport",1,9.9,0,"Bordeaux","Virement",9.9,2,"Standard",25,"Bouche-à-oreille"
"C080","CMD0039",2024-02-08,"Gourde isotherme","Sport",5,17.5,0.2,"Paris","Carte",70,2,"Standard",54,"Moteur de recherche"
"C109","CMD0040",2024-02-10,"Savon naturel","Beauté",2,6.5,0.2,"Paris","Inconnu",10.4,2,"Standard",64,"Publicité"
"C032","CMD0041",2024-02-11,"Parfum d'ambiance","Beauté",2,27,0,"Lyon","Carte",54,2,"Standard",45,"Publicité"
"C070","CMD0042",2024-02-11,"Coussin décoratif","Maison",4,19.9,0.15,"Lille","Virement",67.66,2,"Standard",43,"Moteur de recherche"
"C046","CMD0043",2024-02-12,"Gourde isotherme","Sport",1,17.5,0,"Bordeaux","Paypal",17.5,2,"Standard",27,"Réseaux sociaux"
"C003","CMD0044",2024-02-12,"Corde à sauter","Sport",1,9.9,0,"Marseille","Carte",9.9,2,"Nouveau",52,"Publicité"
"C087","CMD0045",2024-02-16,"Crème hydratante","Beauté",3,22,0,"Paris","Carte",66,2,"Premium",23,"Moteur de recherche"
"C098","CMD0046",2024-02-16,"Coussin décoratif","Maison",2,19.9,0,"Paris","Carte",39.8,2,"Standard",29,"Publicité"
"C075","CMD0047",2024-02-16,"Crème hydratante","Beauté",4,22,0,"Paris","Carte",88,2,"Standard",52,"Bouche-à-oreille"
"C027","CMD0048",2024-02-17,"Lampe de bureau","Maison",1,34.9,0,"Lyon","Carte",34.9,2,"Nouveau",19,"Réseaux sociaux"
"C038","CMD0049",2024-02-17,"Tapis de yoga","Sport",1,24.9,0,"Paris","Carte",24.9,2,"Premium",33,"Publicité"
"C065","CMD0051",2024-02-19,"Corde à sauter","Sport",4,9.9,0,"Nantes","Paypal",39.6,2,"Standard",26,"Bouche-à-oreille"
"C021","CMD0052",2024-02-20,"Corde à sauter","Sport",2,9.9,0.2,"Paris","Carte",15.84,2,"Standard",19,"Bouche-à-oreille"
"C031","CMD0053",2024-02-21,"Tapis de yoga","Sport",2,24.9,0,"Marseille","Carte",49.8,2,"Standard",54,"Réseaux sociaux"
"C006","CMD0054",2024-02-23,"Tapis de yoga","Sport",2,24.9,0.15,"Paris","Carte",42.33,2,"Nouveau",47,"Moteur de recherche"
"C041","CMD0055",2024-02-24,"Coussin décoratif","Maison",2,19.9,0.1,"Lyon","Carte",35.82,2,"Premium",39,"Réseaux sociaux"
"C091","CMD0056",2024-02-26,"Gourde isotherme","Sport",4,17.5,0,"Paris","Virement",70,2,"Standard",58,"Réseaux sociaux"
"C074","CMD0057",2024-02-27,"Plaid en laine","Maison",3,45.5,0.1,"Lyon","Virement",122.85,2,"Standard",41,"Moteur de recherche"
"C008","CMD0058",2024-02-28,"Parfum d'ambiance","Beauté",4,27,0.1,"Nantes","Carte",97.2,2,"Standard",31,"Bouche-à-oreille"
"C051","CMD0059",2024-02-28,"Lampe de bureau","Maison",1,34.9,0.2,"Bordeaux","Carte",27.92,2,"Standard",18,"Publicité"
"C078","CMD0060",2024-03-02,"Haltères 5 kg","Sport",1,29.9,0.05,"Lille","Paypal",28.4,3,"Standard",66,"Réseaux sociaux"
"C104","CMD0061",2024-03-02,"Tapis de yoga","Sport",4,24.9,0.15,"Paris","Carte",84.66,3,"Standard",68,"Publicité"
"C099","CMD0062",2024-03-06,"Savon naturel","Beauté",3,6.5,0,"Lille","Paypal",19.5,3,"Premium",67,"Moteur de recherche"
"C028","CMD0063",2024-03-06,"Tapis de yoga","Sport",3,24.9,0,"Nantes","Carte",74.7,3,"Premium",52,"Réseaux sociaux"
"C020","CMD0064",2024-03-08,"Crème hydratante","Beauté",1,22,0.2,"Paris","Carte",17.6,3,"Standard",63,"Réseaux sociaux"
"C107","CMD0067",2024-03-09,"Gourde isotherme","Sport",2,17.5,0.1,"Nantes","Carte",31.5,3,"Standard",54,"Publicité"
"C067","CMD0068",2024-03-15,"Parfum d'ambiance","Beauté",1,27,0,"Lyon","Carte",27,3,"Premium",46,"Réseaux sociaux"
"C008","CMD0069",2024-03-15,"Savon naturel","Beauté",2,6.5,0,"Lyon","Carte",13,3,"Standard",31,"Bouche-à-oreille"
"C059","CMD0070",2024-03-17,"Huile d'argan","Beauté",5,15.9,0.1,"Lyon","Carte",71.55,3,"Standard",56,"Moteur de recherche"
"C069","CMD0071",2024-03-18,"Huile d'argan","Beauté",1,15.9,0.05,"Paris","Inconnu",15.11,3,"Standard",21,"Bouche-à-oreille"
"C097","CMD0072",2024-03-19,"Plaid en laine","Maison",5,45.5,0,"Marseille","Inconnu",227.5,3,"Nouveau",26,"Moteur de recherche"
"C043","CMD0073",2024-03-19,"Savon naturel","Beauté",1,6.5,0,"Lille","Paypal",6.5,3,"Nouveau",35,"Publicité"
"C117","CMD0074",2024-03-24,"Set de casseroles","Maison",3,79,0.2,"Nantes","Carte",189.6,3,"Premium",29,"Réseaux sociaux"
"C057","CMD0075",2024-03-24,"Tapis de yoga","Sport",2,24.9,0.15,"Paris","Carte",42.33,3,"Standard",22,"Moteur de recherche"
"C111","CMD0076",2024-03-25,"Haltères 5 kg","Sport",1,29.9,0,"Lyon","Carte",29.9,3,"Standard",42,"Bouche-à-oreille"
"C069","CMD0077",2024-03-26,"Corde à sauter","Sport",1,9.9,0,"Lille","Carte",9.9,3,"Standard",21,"Bouche-à-oreille"
"C020","CMD0078",2024-03-27,"Haltères 5 kg","Sport",1,29.9,0,"Paris","Paypal",29.9,3,"Standard",63,"Réseaux sociaux"
"C013","CMD0079",2024-03-28,"Coussin décoratif","Maison",3,19.9,0.2,"Bordeaux","Paypal",47.76,3,"Nouveau",19,"Moteur de recherche"
"C092","CMD0080",2024-03-28,"Gourde isotherme","Sport",1,17.5,0,"Lille","Paypal",17.5,3,"Premium",27,"Réseaux sociaux"
"C113","CMD0081",2024-03-29,"Corde à sauter","Sport",1,9.9,0,"Paris","Carte",9.9,3,"Premium",30,"Publicité"
"C020","CMD0082",2024-04-01,"Coussin décoratif","Maison",2,19.9,0,"Lyon","Paypal",39.8,4,"Standard",63,"Réseaux sociaux"
"C085","CMD0083",2024-04-01,"Set de casseroles","Maison",4,79,0,"Paris","Paypal",316,4,"Nouveau",66,"Réseaux sociaux"
"C043","CMD0084",2024-04-01,"Gourde isotherme","Sport",1,17.5,0.05,"Lille","Paypal",16.62,4,"Nouveau",35,"Publicité"
"C012","CMD0085",2024-04-02,"Coussin décoratif","Maison",1,19.9,0.2,"Paris","Carte",15.92,4,"Premium",64,"Réseaux sociaux"
"C111","CMD0086",2024-04-02,"Crème hydratante","Beauté",1,22,0,"Marseille","Virement",22,4,"Standard",42,"Bouche-à-oreille"
"C025","CMD0087",2024-04-03,"Huile d'argan","Beauté",1,15.9,0.15,"Paris","Carte",13.52,4,"Nouveau",47,"Moteur de recherche"
"C053","CMD0088",2024-04-03,"Set de casseroles","Maison",2,79,0.05,"Lyon","Carte",150.1,4,"Standard",25,"Moteur de recherche"
"C018","CMD0089",2024-04-04,"Corde à sauter","Sport",1,9.9,0,"Nantes","Paypal",9.9,4,"Premium",51,"Publicité"
"C097","CMD0090",2024-04-04,"Savon naturel","Beauté",4,6.5,0.05,"Bordeaux","Virement",24.7,4,"Nouveau",26,"Moteur de recherche"
"C095","CMD0091",2024-04-05,"Huile d'argan","Beauté",2,15.9,0,"Paris","Carte",31.8,4,"Nouveau",42,"Bouche-à-oreille"
"C112","CMD0092",2024-04-06,"Corde à sauter","Sport",2,9.9,0,"Paris","Carte",19.8,4,"Nouveau",18,"Moteur de recherche"
"C117","CMD0093",2024-04-06,"Haltères 5 kg","Sport",3,29.9,0,"Lyon","Inconnu",89.7,4,"Premium",29,"Réseaux sociaux"
"C068","CMD0094",2024-04-07,"Lampe de bureau","Maison",2,34.9,0,"Lille","Paypal",69.8,4,"Nouveau",70,"Bouche-à-oreille"
"C070","CMD0095",2024-04-07,"Coussin décoratif","Maison",2,19.9,0,"Paris","Inconnu",39.8,4,"Standard",43,"Moteur de recherche"
"C109","CMD0096",2024-04-10,"Huile d'argan","Beauté",1,15.9,0.1,"Lille","Carte",14.31,4,"Standard",64,"Publicité"
"C102","CMD0097",2024-04-10,"Savon naturel","Beauté",2,6.5,0,"Paris","Virement",13,4,"Nouveau",66,"Bouche-à-oreille"
"C062","CMD0098",2024-04-12,"Haltères 5 kg","Sport",3,29.9,0.1,"Lille","Carte",80.73,4,"Standard",31,"Publicité"
"C017","CMD0099",2024-04-12,"Plaid en laine","Maison",3,45.5,0.1,"Marseille","Carte",122.85,4,"Standard",43,"Réseaux sociaux"
"C092","CMD0100",2024-04-13,"Corde à sauter","Sport",3,9.9,0,"Lille","Virement",29.7,4,"Premium",27,"Réseaux sociaux"
"C058","CMD0101",2024-04-14,"Parfum d'ambiance","Beauté",1,27,0,"Bordeaux","Carte",27,4,"Standard",28,"Moteur de recherche"
"C002","CMD0102",2024-04-19,"Tapis de yoga","Sport",4,24.9,0.15,"Paris","Carte",84.66,4,"Standard",56,"Bouche-à-oreille"
"C011","CMD0103",2024-04-22,"Plaid en laine","Maison",2,45.5,0.15,"Lille","Carte",77.35,4,"Premium",38,"Réseaux sociaux"
"C084","CMD0104",2024-04-23,"Coussin décoratif","Maison",3,19.9,0.1,"Nantes","Paypal",53.73,4,"Standard",25,"Bouche-à-oreille"
"C015","CMD0106",2024-04-25,"Tapis de yoga","Sport",2,24.9,0,"Lille","Carte",49.8,4,"Standard",27,"Bouche-à-oreille"
"C095","CMD0107",2024-04-25,"Corde à sauter","Sport",2,9.9,0.1,"Marseille","Virement",17.82,4,"Nouveau",42,"Bouche-à-oreille"
"C076","CMD0108",2024-04-25,"Plaid en laine","Maison",2,45.5,0,"Paris","Paypal",91,4,"Nouveau",54,"Bouche-à-oreille"
"C095","CMD0109",2024-04-26,"Parfum d'ambiance","Beauté",3,27,0,"Bordeaux","Virement",81,4,"Nouveau",42,"Bouche-à-oreille"
"C101","CMD0110",2024-04-26,"Set de casseroles","Maison",2,79,0.1,"Paris","Paypal",142.2,4,"Standard",69,"Moteur de recherche"
"C014","CMD0111",2024-04-28,"Crème hydratante","Beauté",1,22,0,"Marseille","Paypal",22,4,"Standard",57,"Moteur de recherche"
"C116","CMD0112",2024-04-29,"Plaid en laine","Maison",1,45.5,0,"Marseille","Carte",45.5,4,"Premium",43,"Réseaux sociaux"
"C065","CMD0113",2024-04-30,"Corde à sauter","Sport",1,9.9,0,"Lille","Carte",9.9,4,"Standard",26,"Bouche-à-oreille"
"C113","CMD0114",2024-04-30,"Lampe de bureau","Maison",3,34.9,0,"Paris","Carte",104.7,4,"Premium",30,"Publicité"
"C062","CMD0115",2024-05-01,"Parfum d'ambiance","Beauté",1,27,0.1,"Lille","Paypal",24.3,5,"Standard",31,"Publicité"
"C012","CMD0116",2024-05-02,"Plaid en laine","Maison",1,45.5,0.05,"Lille","Paypal",43.23,5,"Premium",64,"Réseaux sociaux"
"C072","CMD0117",2024-05-02,"Huile d'argan","Beauté",5,15.9,0.1,"Lille","Carte",71.55,5,"Standard",53,"Bouche-à-oreille"
"C025","CMD0118",2024-05-05,"Huile d'argan","Beauté",3,15.9,0.1,"Lille","Carte",42.93,5,"Nouveau",47,"Moteur de recherche"
"C062","CMD0119",2024-05-06,"Tapis de yoga","Sport",2,24.9,0.2,"Paris","Carte",39.84,5,"Standard",31,"Publicité"
"C059","CMD0120",2024-05-06,"Plaid en laine","Maison",1,45.5,0,"Marseille","Carte",45.5,5,"Standard",56,"Moteur de recherche"
"C100","CMD0121",2024-05-06,"Gourde isotherme","Sport",1,17.5,0.05,"Paris","Virement",16.62,5,"Standard",68,"Publicité"
"C053","CMD0122",2024-05-07,"Huile d'argan","Beauté",2,15.9,0.1,"Lyon","Virement",28.62,5,"Standard",25,"Moteur de recherche"
"C111","CMD0123",2024-05-09,"Corde à sauter","Sport",1,9.9,0.1,"Lyon","Paypal",8.91,5,"Standard",42,"Bouche-à-oreille"
"C043","CMD0124",2024-05-09,"Tapis de yoga","Sport",2,24.9,0,"Paris","Paypal",49.8,5,"Nouveau",35,"Publicité"
"C079","CMD0126",2024-05-10,"Haltères 5 kg","Sport",1,29.9,0,"Lille","Paypal",29.9,5,"Nouveau",31,"Moteur de recherche"
"C101","CMD0127",2024-05-11,"Lampe de bureau","Maison",5,34.9,0,"Lyon","Virement",174.5,5,"Standard",69,"Moteur de recherche"
"C008","CMD0128",2024-05-12,"Haltères 5 kg","Sport",1,29.9,0.1,"Paris","Carte",26.91,5,"Standard",31,"Bouche-à-oreille"
"C072","CMD0129",2024-05-14,"Gourde isotherme","Sport",2,17.5,0.2,"Paris","Paypal",28,5,"Standard",53,"Bouche-à-oreille"
"C048","CMD0130",2024-05-14,"Savon naturel","Beauté",2,6.5,0.1,"Lille","Carte",11.7,5,"Standard",68,"Publicité"
"C078","CMD0131",2024-05-14,"Parfum d'ambiance","Beauté",2,27,0,"Lyon","Carte",54,5,"Standard",66,"Réseaux sociaux"
"C105","CMD0133",2024-05-16,"Coussin décoratif","Maison",2,19.9,0,"Paris","Carte",39.8,5,"Standard",22,"Réseaux sociaux"
"C081","CMD0134",2024-05-16,"Plaid en laine","Maison",3,45.5,0.1,"Lille","Carte",122.85,5,"Standard",42,"Bouche-à-oreille"
"C028","CMD0135",2024-05-17,"Plaid en laine","Maison",2,45.5,0,"Lyon","Paypal",91,5,"Premium",52,"Réseaux sociaux"
"C088","CMD0136",2024-05-19,"Savon naturel","Beauté",2,6.5,0,"Marseille","Carte",13,5,"Standard",18,"Réseaux sociaux"
"C012","CMD0137",2024-05-21,"Huile d'argan","Beauté",3,15.9,0,"Lille","Carte",47.7,5,"Premium",64,"Réseaux sociaux"
"C076","CMD0138",2024-05-21,"Plaid en laine","Maison",1,45.5,0.15,"Lyon","Carte",38.67,5,"Nouveau",54,"Bouche-à-oreille"
"C020","CMD0139",2024-05-21,"Set de casseroles","Maison",2,79,0.05,"Bordeaux","Carte",150.1,5,"Standard",63,"Réseaux sociaux"
"C058","CMD0140",2024-05-21,"Coussin décoratif","Maison",1,19.9,0.1,"Paris","Carte",17.91,5,"Standard",28,"Moteur de recherche"
"C003","CMD0141",2024-05-23,"Lampe de bureau","Maison",2,34.9,0,"Nantes","Carte",69.8,5,"Nouveau",52,"Publicité"
"C119","CMD0142",2024-05-24,"Crème hydratante","Beauté",2,22,0.1,"Bordeaux","Carte",39.6,5,"Standard",46,"Moteur de recherche"
"C013","CMD0144",2024-05-25,"Plaid en laine","Maison",3,45.5,0.1,"Nantes","Virement",122.85,5,"Nouveau",19,"Moteur de recherche"
"C080","CMD0145",2024-05-25,"Tapis de yoga","Sport",2,24.9,0.15,"Marseille","Carte",42.33,5,"Standard",54,"Moteur de recherche"
"C102","CMD0146",2024-05-26,"Gourde isotherme","Sport",2,17.5,0.1,"Nantes","Paypal",31.5,5,"Nouveau",66,"Bouche-à-oreille"
"C099","CMD0147",2024-05-26,"Haltères 5 kg","Sport",1,29.9,0,"Lille","Virement",29.9,5,"Premium",67,"Moteur de recherche"
"C030","CMD0149",2024-05-27,"Parfum d'ambiance","Beauté",1,27,0.1,"Bordeaux","Carte",24.3,5,"Standard",54,"Moteur de recherche"
"C096","CMD0150",2024-05-29,"Haltères 5 kg","Sport",3,29.9,0,"Paris","Carte",89.7,5,"Standard",50,"Bouche-à-oreille"
"C101","CMD0151",2024-05-29,"Parfum d'ambiance","Beauté",1,27,0.15,"Lyon","Paypal",22.95,5,"Standard",69,"Moteur de recherche"
"C018","CMD0152",2024-05-30,"Coussin décoratif","Maison",1,19.9,0,"Lyon","Virement",19.9,5,"Premium",51,"Publicité"
"C097","CMD0153",2024-06-05,"Plaid en laine","Maison",1,45.5,0,"Paris","Paypal",45.5,6,"Nouveau",26,"Moteur de recherche"
"C062","CMD0154",2024-06-05,"Gourde isotherme","Sport",3,17.5,0.15,"Paris","Carte",44.62,6,"Standard",31,"Publicité"
"C049","CMD0155",2024-06-06,"Corde à sauter","Sport",1,9.9,0.1,"Nantes","Paypal",8.91,6,"Nouveau",50,"Publicité"
"C011","CMD0156",2024-06-08,"Gourde isotherme","Sport",2,17.5,0.05,"Lyon","Carte",33.25,6,"Premium",38,"Réseaux sociaux"
"C005","CMD0157",2024-06-09,"Gourde isotherme","Sport",5,17.5,0.05,"Marseille","Carte",83.12,6,"Standard",56,"Bouche-à-oreille"
"C035","CMD0158",2024-06-09,"Lampe de bureau","Maison",1,34.9,0.2,"Lille","Carte",27.92,6,"Nouveau",66,"Publicité"
"C071","CMD0159",2024-06-09,"Huile d'argan","Beauté",2,15.9,0,"Bordeaux","Inconnu",31.8,6,"Nouveau",61,"Bouche-à-oreille"
"C092","CMD0160",2024-06-11,"Corde à sauter","Sport",2,9.9,0.15,"Paris","Paypal",16.83,6,"Premium",27,"Réseaux sociaux"
"C044","CMD0161",2024-06-13,"Set de casseroles","Maison",3,79,0,"Paris","Virement",237,6,"Standard",19,"Moteur de recherche"
"C066","CMD0162",2024-06-13,"Savon naturel","Beauté",2,6.5,0.1,"Paris","Paypal",11.7,6,"Premium",45,"Moteur de recherche"
"C073","CMD0164",2024-06-16,"Gourde isotherme","Sport",3,17.5,0,"Lille","Carte",52.5,6,"Nouveau",36,"Réseaux sociaux"
"C030","CMD0165",2024-06-16,"Gourde isotherme","Sport",1,17.5,0.2,"Lyon","Paypal",14,6,"Standard",54,"Moteur de recherche"
"C050","CMD0166",2024-06-16,"Coussin décoratif","Maison",1,19.9,0,"Marseille","Carte",19.9,6,"Nouveau",67,"Publicité"
"C079","CMD0167",2024-06-17,"Plaid en laine","Maison",2,45.5,0,"Lille","Paypal",91,6,"Nouveau",31,"Moteur de recherche"
"C023","CMD0168",2024-06-17,"Set de casseroles","Maison",2,79,0.1,"Nantes","Carte",142.2,6,"Nouveau",44,"Réseaux sociaux"
"C007","CMD0169",2024-06-17,"Plaid en laine","Maison",1,45.5,0,"Lyon","Carte",45.5,6,"Standard",60,"Moteur de recherche"
"C033","CMD0170",2024-06-18,"Huile d'argan","Beauté",1,15.9,0,"Lille","Carte",15.9,6,"Standard",38,"Moteur de recherche"
"C093","CMD0171",2024-06-20,"Gourde isotherme","Sport",1,17.5,0.1,"Paris","Carte",15.75,6,"Nouveau",56,"Réseaux sociaux"
"C053","CMD0172",2024-06-20,"Set de casseroles","Maison",1,79,0.15,"Paris","Carte",67.15,6,"Standard",25,"Moteur de recherche"
"C015","CMD0173",2024-06-21,"Set de casseroles","Maison",2,79,0.2,"Nantes","Inconnu",126.4,6,"Standard",27,"Bouche-à-oreille"
"C032","CMD0174",2024-06-22,"Crème hydratante","Beauté",2,22,0.1,"Marseille","Carte",39.6,6,"Standard",45,"Publicité"
"C102","CMD0175",2024-06-28,"Haltères 5 kg","Sport",2,29.9,0,"Lille","Virement",59.8,6,"Nouveau",66,"Bouche-à-oreille"
"C079","CMD0176",2024-06-29,"Plaid en laine","Maison",1,45.5,0,"Paris","Paypal",45.5,6,"Nouveau",31,"Moteur de recherche"
"C080","CMD0177",2024-07-03,"Gourde isotherme","Sport",2,17.5,0,"Paris","Virement",35,7,"Standard",54,"Moteur de recherche"
"C052","CMD0178",2024-07-04,"Gourde isotherme","Sport",1,17.5,0,"Paris","Carte",17.5,7,"Nouveau",57,"Moteur de recherche"
"C115","CMD0179",2024-07-06,"Parfum d'ambiance","Beauté",4,27,0,"Paris","Virement",108,7,"Standard",69,"Publicité"
"C019","CMD0180",2024-07-07,"Corde à sauter","Sport",2,9.9,0.05,"Paris","Carte",18.81,7,"Standard",66,"Moteur de recherche"
"C068","CMD0181",2024-07-08,"Crème hydratante","Beauté",1,22,0.1,"Marseille","Carte",19.8,7,"Nouveau",70,"Bouche-à-oreille"
"C093","CMD0182",2024-07-09,"Haltères 5 kg","Sport",4,29.9,0,"Marseille","Paypal",119.6,7,"Nouveau",56,"Réseaux sociaux"
"C083","CMD0183",2024-07-10,"Parfum d'ambiance","Beauté",2,27,0.15,"Marseille","Carte",45.9,7,"Standard",43,"Publicité"
"C021","CMD0184",2024-07-10,"Set de casseroles","Maison",4,79,0,"Bordeaux","Carte",316,7,"Standard",19,"Bouche-à-oreille"
"C052","CMD0185",2024-07-11,"Crème hydratante","Beauté",1,22,0,"Marseille","Virement",22,7,"Nouveau",57,"Moteur de recherche"
"C056","CMD0186",2024-07-11,"Haltères 5 kg","Sport",4,29.9,0,"Paris","Carte",119.6,7,"Nouveau",22,"Réseaux sociaux"
"C072","CMD0187",2024-07-12,"Haltères 5 kg","Sport",2,29.9,0.05,"Lille","Carte",56.81,7,"Standard",53,"Bouche-à-oreille"
"C069","CMD0188",2024-07-12,"Corde à sauter","Sport",1,9.9,0.1,"Paris","Virement",8.91,7,"Standard",21,"Bouche-à-oreille"
"C014","CMD0189",2024-07-15,"Haltères 5 kg","Sport",4,29.9,0.1,"Lyon","Inconnu",107.64,7,"Standard",57,"Moteur de recherche"
"C109","CMD0190",2024-07-17,"Corde à sauter","Sport",1,9.9,0.1,"Paris","Carte",8.91,7,"Standard",64,"Publicité"
"C080","CMD0191",2024-07-18,"Set de casseroles","Maison",2,79,0.15,"Paris","Paypal",134.3,7,"Standard",54,"Moteur de recherche"
"C028","CMD0192",2024-07-18,"Tapis de yoga","Sport",2,24.9,0.15,"Lyon","Inconnu",42.33,7,"Premium",52,"Réseaux sociaux"
"C052","CMD0193",2024-07-19,"Coussin décoratif","Maison",2,19.9,0,"Lyon","Paypal",39.8,7,"Nouveau",57,"Moteur de recherche"
"C097","CMD0194",2024-07-19,"Lampe de bureau","Maison",1,34.9,0.05,"Lille","Carte",33.15,7,"Nouveau",26,"Moteur de recherche"
"C069","CMD0195",2024-07-21,"Corde à sauter","Sport",1,9.9,0,"Paris","Paypal",9.9,7,"Standard",21,"Bouche-à-oreille"
"C012","CMD0196",2024-07-23,"Huile d'argan","Beauté",2,15.9,0.1,"Lille","Paypal",28.62,7,"Premium",64,"Réseaux sociaux"
"C105","CMD0197",2024-07-23,"Huile d'argan","Beauté",1,15.9,0,"Lyon","Carte",15.9,7,"Standard",22,"Réseaux sociaux"
"C081","CMD0198",2024-07-26,"Coussin décoratif","Maison",4,19.9,0,"Lyon","Carte",79.6,7,"Standard",42,"Bouche-à-oreille"
